postcode,eastings,northings,latitude,longitude
IP33,584900,263900,52.24178,0.70848
IP4,618000,245000,52.06,1.18046
IP5,622200,245300,52.06102,1.24182
IP6,613200,252700,52.131,1.11536
IP7,602100,245300,52.06872,0.94901
IP8,611300,244900,52.06169,1.0828
IP9,616200,237200,51.99067,1.14931
KT1,518500,169000,51.40713,-0.29606
KT10,514600,164500,51.36749,-0.35357
KT11,511300,160000,51.32769,-0.40237
KT12,510900,165500,51.37721,-0.40639
KT13,508000,164400,51.36788,-0.44838
KT14,505500,161100,51.33869,-0.48526
KT15,504800,163800,51.36309,-0.49451
KT16,503400,166000,51.38312,-0.51398
KT17,522000,161700,51.34078,-0.24827
KT18,521100,159000,51.3167,-0.2621
KT19,520600,162800,51.35096,-0.26799
KT2,519000,170000,51.41602,-0.28854
KT20,523400,155600,51.28564,-0.23029
KT21,518400,158300,51.31098,-0.30106
KT22,515900,157100,51.3007,-0.33731
KT23,513700,154900,51.28137,-0.36956
KT24,509600,153400,51.26869,-0.42879
KT3,521300,168200,51.39935,-0.25609
KT4,522300,165800,51.37757,-0.24255
KT5,519200,167300,51.39171,-0.28657
KT6,518300,167000,51.3892,-0.2996
KT7,516400,167000,51.38959,-0.3269
KT8,513900,168200,51.40089,-0.36243
KT9,518200,164200,51.36405,-0.30197
L1,334900,390000,53.40254,-2.97928
L10,338500,397900,53.47398,-2.92668
L11,339300,395000,53.44801,-2.91407
L12,340600,393500,53.43467,-2.89421
L13,338900,391600,53.4174,-2.91943
L14,341600,391700,53.41861,-2.87883
L15,338900,389400,53.39763,-2.91901
L16,341000,389500,53.39876,-2.88744
L17,337500,387200,53.37769,-2.93962
L18,339700,387500,53.38064,-2.90661
L19,340000,385100,53.3591,-2.90165
L2,334300,390500,53.40696,-2.98841
L20,334400,395600,53.45281,-2.98797
L21,333700,397600,53.4707,-2.99893
L22,331900,398300,53.47676,-3.0262
L23,332200,399900,53.49118,-3.02203
L24,344300,383300,53.34339,-2.83672
L25,342600,387200,53.37827,-2.86296
L26,344600,385600,53.3641,-2.83262
L27,344300,388200,53.38744,-2.83758
L28,342600,393500,53.4349,-2.86411
L29,334800,401600,53.50679,-2.98319
L3,334600,390700,53.4088,-2.98394
L30,335600,399100,53.48442,-2.97062
L31,337900,402300,53.51346,-2.93659
L32,341000,398300,53.47786,-2.88909
L33,341900,399600,53.48965,-2.87577
L34,345900,393600,53.43614,-2.81445
L35,348000,391200,53.41478,-2.78244
L36,344200,391200,53.41439,-2.83962
L37,329600,407300,53.55735,-3.06288
L38,330400,403600,53.5242,-3.04998
L39,340700,407600,53.56142,-2.89537
L4,336200,393900,53.43775,-2.96052
L40,344400,412100,53.60227,-2.84032
L5,335200,392500,53.42505,-2.97529
L6,336900,391800,53.41896,-2.94956
L69,335300,390500,53.40709,-2.97337
L7,337000,390300,53.40549,-2.94776
L70,335500,390700,53.40891,-2.9704
L8,336000,388600,53.39009,-2.96246
L9,336800,396500,53.4612,-2.95201
LA1,347700,461500,54.04663,-2.79885
LA10,367900,491100,54.31433,-2.49348
LA11,339700,478700,54.20034,-2.92446
LA12,329400,479200,54.20351,-3.08246
LA13,321700,469800,54.11792,-3.19805
LA14,319600,469900,54.1185,-3.2302
LA15,323100,474000,54.15588,-3.1777
LA16,321600,477400,54.1862,-3.20155
LA17,323400,483200,54.2386,-3.17545
LA18,316900,480700,54.21512,-3.27448
LA19,310500,489500,54.29312,-3.37523
LA2,355900,463500,54.06537,-2.6739
LA20,321600,489400,54.29404,-3.20469
LA21,330300,497100,54.3645,-3.07283
LA22,336000,503500,54.42276,-2.98649
LA23,340800,497700,54.37122,-2.91136
LA3,342600,462000,54.05058,-2.87683
LA4,344300,464100,54.06964,-2.85125
LA5,348400,472200,54.14287,-2.78998
LA6,360100,475700,54.17537,-2.61134
LA7,349700,481400,54.22568,-2.77162
LA8,350600,492300,54.32373,-2.75961
LA9,351700,492500,54.32563,-2.74273
LE1,459000,304400,52.63379,-1.12812
LE10,442900,293400,52.53641,-1.36744
LE11,452900,319400,52.76927,-1.21584
LE12,454500,319100,52.76641,-1.19217
